Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.9104477611940298,0.9290322580645162,0.9171974522292994,0.9230769230769231,0.9792850175015779
Decision Tree,0.9552238805970149,0.967741935483871,0.9554140127388535,0.9615384615384616,0.9551844838469042
SVM,0.8805970149253731,0.9139072847682119,0.8789808917197452,0.8961038961038961,0.9324037413209387
KNN,0.8694029850746269,0.8860759493670886,0.89171974522293,0.8888888888888888,0.9206116944970448
Logistic Regression,0.8656716417910447,0.8666666666666667,0.910828025477707,0.8881987577639752,0.9042864520571526
